Country{string},Manufacturer{string},Model{string},Variant{string},Registry{string},ICAO24{string},Serial Number{string},Operator{string},Source{string},Source URL{string},Date Retrieved{string},Comments{string},Classification{string}
----,Ilyushin,Il-76,IL-76 MD,RA-78834,1533f2,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78835,1533f3,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78838,1533f6,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78840,1533f8,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78842,1533fa,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78844,1533fc,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78845,1533fd,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78847,1533ff,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78850,153402,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD-90,RA-78854,153406,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82010,15405A,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82013,15405D,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82014,15405E,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82025,154069,----,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82028,15406C,19530502599,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82030,15406E,9.77304E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82032,154070,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82035,154073,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82037,154075,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82038,154076,9.77305E+12,Russian Air Force,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82042,15407A,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82043,15407B,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82044,15407C,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82045,15407D,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82046,15407E,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82047,15407F,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82068,154094,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82074,15409A,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82077,15409D,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82078,15409E,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124-100,RA-82079,15409F,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Azerbaijan,Antonov,An-124,An-124,RA-82080,1540A0,9.77305E+12,Silk Way Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
Russian Federation,Antonov,An-124,An-124,RA-82081,1540A1,9.77305E+12,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/2/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86871,155357,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86897,155371,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86901,155375,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86906,15537a,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86908,15537c,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-86910,15537e,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MDK,RF-75351,152bde,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MDK,RF-75352,1533b2,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MDK,RF-75353,1.533E+12,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,RF-76325,152c00,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76327,1533ed,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76533,152af5,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RF-76544,152b00,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
