Name{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},SHPLATRAD{decimal},SHPLONRAD{decimal},Point_Features{point}
Hayes,Alaska-SW,Stratovolcano,61.64,-152.41,3034,1.07582095092931,-2.66005631296456,POINT(-152.41 61.64)
"Haylan, Jabal",Arabia-S,Volcanic field,15.43,44.78,1550,0.269304303582725,0.781558439043061,POINT(44.78 15.43)
Hayli Gubbi,Ethiopia,Shield volcano,13.5,40.72,521,0.235619449019234,0.710698071412091,POINT(40.72 13.5)
Healy,New Zealand,Submarine volcano,-35,178.97,980,-0.610865238198015,3.12361576229425,POINT(178.97 -35)
Heard,Indian O.-S,Stratovolcano,-53.11,73.51,2745,-0.926944365734189,1.28299153314103,POINT(73.51 -53.11)
Heart Peaks,Canada,Shield volcano,58.6,-131.97,2012,1.02276294166868,-2.30331101385692,POINT(-131.97 58.6)
Hekla,Iceland-S,Stratovolcano,63.98,-19.7,1491,1.11666165542597,-0.343829862642883,POINT(-19.7 63.98)
Hell's Half Acre,US-Idaho,Shield volcano,43.5,-112.45,1631,0.759218224617533,-1.96262274386762,POINT(-112.45 43.5)
Hengill,Iceland-SW,Crater rows,64.18,-21.33,803,1.12015231392996,-0.37227872945039,POINT(-21.33 64.18)
Herbert,Aleutian Is,Stratovolcano,52.74,-170.11,1280,0.920486647501809,-2.96897959056755,POINT(-170.11 52.74)
Hertali,Ethiopia,Fissure vent,9.78,40.33,900,0.170693200845045,0.703891287329313,POINT(40.33 9.78)
Hierro,Canary Is,Shield volcano,27.73,-18.03,1500,0.483979801578028,-0.314682864134578,POINT(-18.03 27.73)
Hijiori,Honshu-Japan,Caldera,38.61,140.18,516,0.673871624195011,2.44660254544565,POINT(140.18 38.61)
Hiri,Halmahera-Indonesia,Stratovolcano,0.9,127.32,630,0.015707963267949,2.22215320363918,POINT(127.32 0.9)
Hiuchi,Honshu-Japan,Stratovolcano,36.95,139.29,2356,0.644899158611905,2.4310691151029,POINT(139.29 36.95)
Hobicha Caldera,Ethiopia,Caldera,6.78,37.83,1800,0.118333323285215,0.660258056029455,POINT(37.83 6.78)
Hodson,Antarctica,Stratovolcano,-56.7,-27.15,1005,-0.989601685880785,-0.473856891916461,POINT(-27.15 -56.7)
Hofsjökull,Iceland-SW,Subglacial volcano,64.78,-18.92,1782,1.13062428944193,-0.330216294477327,POINT(-18.92 64.78)
Homa Mountain,Africa-E,Complex volcano,-0.38,34.5,1751,-0.006632251157578,0.602138591938044,POINT(34.5 -0.38)
Home Reef,Tonga-SW Pacific,Submarine volcano,-18.99,-174.78,-2,-0.331438024953723,-3.05048646663569,POINT(-174.78 -18.99)
Honggeertu,China-E,Cinder cones,41.47,113,1700,0.723788040802049,1.97222205475359,POINT(113 41.47)
Hood,US-Oregon,Stratovolcano,45.37,-121.7,3426,0.791855881629827,-2.1240656996771,POINT(-121.7 45.37)
Hoodoo Mountain,Canada,Subglacial volcano,56.78,-131.28,1850,0.990997949282381,-2.29126824201816,POINT(-131.28 56.78)
Hornopirén,Chile-S,Stratovolcano,-41.87,-72.43,1572,-0.730769357810026,-1.26414197721949,POINT(-72.43 -41.87)
Hualalai,Hawaiian Is,Shield volcano,19.69,-155.87,2523,0.343655329717683,-2.72044470508356,POINT(-155.87 19.69)
Huambo,Perú,Volcanic field,-15.83,-72.13,4550,-0.276285620590702,-1.25890598946351,POINT(-72.13 -15.83)
Huanquihue Group,Argentina,Stratovolcanoes,-39.88,-71.58,2139,-0.696037305695339,-1.24930667857754,POINT(-71.58 -39.88)
Huaynaputina,Perú,Stratovolcano,-16.61,-70.85,4850,-0.289899188756258,-1.23656577503798,POINT(-70.85 -16.61)
Hudson Mountains,Antarctica,Stratovolcanoes,-74.33,-99.42,749,-1.29730323300739,-1.73520634233276,POINT(-99.42 -74.33)
"Hudson, Cerro",Chile-S,Stratovolcano,-45.9,-72.97,1905,-0.801106126665397,-1.27356675518026,POINT(-72.97 -45.9)
Huequi,Chile-S,Stratovolcano,-42.38,-72.58,1318,-0.739670536995197,-1.26675997109748,POINT(-72.58 -42.38)
"Huila, Nevado del",Colombia,Stratovolcano,2.93,-76.03,5364,0.051138147083434,-1.32697383029129,POINT(-76.03 2.93)
Hulubelu,Sumatra,Caldera,-5.35,104.6,1040,-0.093375114981697,1.82561439758607,POINT(104.6 -5.35)
"Humeros, Los",México,Calderas,19.68,-97.45,3150,0.343480796792484,-1.70082335606847,POINT(-97.45 19.68)
